key,opens_count,closes_count,recipe_count,points,recipes,
fresh-coriander,17,17,17,4,Thai Yellow Curry Bowl | Ginger & Peanut Sweet Potato Curry | Super Green Thai Chickpea Curry | Paneer Butter Masala | Aubergine & Spinach Curry | Creamy Tomato & Chickpea Curry | Dum Aloo | Spicy Zhoug Sea Bream | Sweet Potato Jackets with Guacamole & Kidney Beans | Mexican-Style Stuffed Peppers | Malaysian Fish Curry (Kari Ikan) | Refried Bean Quesadillas | Veggie Fajita Nachos | Mexican Bean Burgers | Spicy Mexican Potato Wedges | Katsu Curry with Quorn Pieces | Sticky Ginger-Lemongrass Mushroom Rice Bowl,
baby-spinach,13,13,13,6,Yellow Thai Basa Curry | Green Thai Sweet Potato Curry | Super Green Thai Chickpea Curry | Spicy Paneer Tikka Curry | Ginger Paneer & Caramelised Onion Curry | Aubergine & Spinach Curry | One Pan Smokey Chickpea Curry | Creamy Tomato & Chickpea Curry | Palak Paneer | Baked Salmon & Leek Parcel | GF Salmon Pasta | Spinach, Sweet Potato & Feta Sausage Rolls | Cowboy Breakfast Bowl
creme-fraiche,7,7,7,10,Spicy Paneer Tikka Curry | Paneer Butter Masala | Ginger Paneer & Caramelised Onion Curry | Sea Bream in Chive & Garlic Butter | Salmon & Herbed Smashed Potatoes | Cheddar & Wholegrain Mustard Gnocchi Bake | Mozzarella Topped Pesto Gnocchi,
sweet-potato,4,4,4,10,Ginger & Peanut Sweet Potato Curry | Green Thai Sweet Potato Curry | Sweet Potato Jackets with Guacamole & Kidney Beans | Spicy Harissa Aubergine Pie,
yoghurt,3,3,3,4,One Pan Smokey Chickpea Curry | Creamy Tomato & Chickpea Curry | Dum Aloo,
double-cream,3,3,3,5,Palak Paneer | Mushroom Pasta | Three Cheese, Caramelised Onion & Potato Pie
yellow-thai-paste,2,2,2,7,Thai Yellow Curry Bowl | Yellow Thai Basa Curry,
green-thai-paste,2,2,2,7,Green Thai Sweet Potato Curry | Super Green Thai Chickpea Curry,
hummus,2,2,2,10,Tandoori Paneer Rice Bowl | Chermoula Chickpea & Turmeric Rice Bowl,
rogan-josh-paste,2,2,2,6,Ginger Paneer & Caramelised Onion Curry | Aubergine & Spinach Curry,
smokey-paste,2,2,2,5,One Pan Smokey Chickpea Curry | Creamy Tomato & Chickpea Curry,
ginger-garlic-paste,2,2,2,6,Dum Aloo | Palak Paneer,
zhoug-paste,2,2,2,8,Spicy Zhoug Sea Bream | Chermoula Chickpea & Turmeric Rice Bowl,
ketjap-manis,2,2,2,8,Honey & Ginger Glazed Basa | Sticky Ginger-Lemongrass Mushroom Rice Bowl,
sun-dried-tomato-paste,2,2,2,3,Italian Sea Bass Tray Bake | Mozzarella Topped Pesto Gnocchi,
wild-mushroom-paste,2,2,2,7,Speciality Mushroom Risotto | Leek, Mushroom & Blue Cheese Risotto
tomato-sauce-jar,2,2,2,4,Aubergine Parmigiana Traybake | Bolognaise,
vanilla-bean-paste,2,2,2,6,Strawberry, Almond & Polenta Skillet Cake | Kanelbullar (Cinnamon Balls)
red-thai-paste,1,1,1,6,Ginger & Peanut Sweet Potato Curry,
tikka-paste,1,1,1,7,Spicy Paneer Tikka Curry,
north-indian-spice,1,1,2,0,Spicy Paneer Tikka Curry | Paneer Butter Masala,
korma-paste,1,1,1,5,Paneer Butter Masala,
chermoula-spice,1,1,2,6,Spicy Zhoug Sea Bream | Chermoula Chickpea & Turmeric Rice Bowl,
miso-paste,1,1,1,6,Miso-Glazed Salmon,
mexican-spice,1,1,2,0,Mexican Black Bean Bowl | Kidney Bean Jacket Potato,
rose-harissa-paste,1,1,1,8,Spicy Harissa Aubergine Pie,
roasted-peppers-jar,1,1,1,7,Quinoa Salad with Grilled Halloumi,
tamarind-paste,1,1,1,7,Malaysian Fish Curry (Kari Ikan),
harissa-paste,1,1,1,7,Chermoula Chickpea & Turmeric Rice Bowl,
cashew-butter,1,1,1,6,Chermoula Chickpea & Turmeric Rice Bowl,
gochujang-paste,1,1,1,6,Gochujang Glazed Paneer,
sambal-paste,1,1,1,6,Gochujang Glazed Paneer,
red-onion-marmalade,1,1,1,7,Red Onion, Walnut & Blue Cheese Tart
mango-chutney,1,1,1,7,Coconut Red Lentil Dahl,
tandoori-spice,1,0,1,0,Tandoori Paneer Rice Bowl,
cajun-spice,1,0,1,0,Cajun Halloumi & Black Bean Burrito Bowl,
